País,Año_Compra,Total_Compradores,Gasto_USD_Total,Gasto_USD_Promedio,Items_Total,Items_Promedio,Edad_Promedio,Ingreso_Prom_USD,Distancia_Prom_km,Tiempo_Busq_Prom,Pct_Recomienda,Pct_Primera_Vez,Pct_Satisfechos,Canal_Mas_Frecuente,Categoria_Top,Motivacion_Top,Genero_Predominante,Plataforma_Top
Argentina,2000,5,191.29,38.26,13,2.6,27.8,1143.8,7.08,27.8,60.0,80.0,60.0,Mercado físico,Ropa deportiva,Ahorro económico,Masculino,Ninguna
Argentina,2001,6,156.8,26.13,19,3.17,27.67,810.67,5.32,36.17,83.33,16.67,100.0,Feria local,Accesorios,Reducir consumo,Femenino,Facebook
Argentina,2002,9,292.43,32.49,32,3.56,30.89,1289.22,6.06,27.67,88.89,0.0,55.56,Mercado físico,Ropa deportiva,Tendencia social,Femenino,WhatsApp
Argentina,2003,4,70.71,17.68,10,2.5,30.0,1011.5,8.15,42.25,100.0,0.0,75.0,Mercado físico,Ropa vintage,Sostenibilidad ambiental,Femenino,Instagram
Argentina,2004,13,451.48,34.73,49,3.77,27.23,1116.46,5.28,38.23,92.31,15.38,61.54,Mercado físico,Ropa casual,Ahorro económico,Femenino,TikTok
Argentina,2005,12,385.73,32.14,39,3.25,27.75,1034.33,5.24,36.83,91.67,0.0,58.33,Mercado físico,Ropa vintage,Ahorro económico,Femenino,TikTok
Argentina,2006,5,140.57,28.11,17,3.4,25.6,992.6,2.44,56.6,100.0,0.0,40.0,Feria local,Ropa deportiva,Ahorro económico,Femenino,WhatsApp
Argentina,2007,8,351.67,43.96,42,5.25,29.38,1170.75,2.52,31.12,87.5,37.5,50.0,Feria local,Ropa formal,Ahorro económico,Femenino,Facebook
Argentina,2008,5,186.98,37.4,24,4.8,33.0,1220.0,2.04,44.6,60.0,0.0,80.0,Mercado físico,Accesorios,Sostenibilidad ambiental,Femenino,Ninguna
Argentina,2009,5,237.94,47.59,13,2.6,29.6,1035.4,5.04,30.2,80.0,40.0,80.0,Mercado físico,Ropa formal,Moda única/vintage,Femenino,WhatsApp
Argentina,2010,7,289.17,41.31,27,3.86,29.71,983.14,3.79,28.86,100.0,0.0,57.14,Feria local,Ropa casual,Sostenibilidad ambiental,Femenino,Facebook
Argentina,2011,11,552.79,50.25,48,4.36,28.82,1128.64,4.24,31.0,90.91,18.18,90.91,Mercado físico,Ropa casual,Ahorro económico,Masculino,Instagram
Argentina,2012,5,238.75,47.75,19,3.8,29.6,1482.0,4.18,41.4,80.0,20.0,40.0,Mercado físico,Ropa de diseñador,Sostenibilidad ambiental,Femenino,Instagram
Argentina,2013,9,417.48,46.39,33,3.67,26.78,965.78,3.7,33.89,88.89,11.11,66.67,Feria local,Ropa casual,Ahorro económico,Femenino,WhatsApp
Argentina,2014,19,1032.71,54.35,92,4.84,26.32,1187.74,5.03,28.74,84.21,15.79,73.68,Tienda online,Ropa formal,Moda única/vintage,Femenino,Instagram
Argentina,2015,18,996.79,55.38,77,4.28,25.33,1099.33,4.44,29.61,83.33,11.11,72.22,Feria local,Ropa vintage,Ahorro económico,Femenino,Instagram
Argentina,2016,28,1401.8,50.06,119,4.25,29.82,1064.18,3.05,28.29,85.71,14.29,78.57,Aplicación móvil,Ropa deportiva,Ahorro económico,Femenino,Instagram
Argentina,2017,21,1258.34,59.92,92,4.38,30.38,1069.9,3.95,33.38,85.71,4.76,71.43,Intercambio entre amigos,Ropa formal,Ahorro económico,Femenino,TikTok
Argentina,2018,29,1656.8,57.13,124,4.28,29.55,1037.1,3.2,32.45,72.41,10.34,82.76,Mercado físico,Ropa casual,Ahorro económico,Femenino,Facebook
Argentina,2019,21,1221.41,58.16,91,4.33,28.29,1042.86,5.97,24.43,80.95,0.0,47.62,Aplicación móvil,Accesorios,Ahorro económico,Femenino,Facebook
Argentina,2020,35,1891.22,54.03,181,5.17,26.14,1021.37,4.95,25.0,82.86,14.29,71.43,Redes sociales,Accesorios,Sostenibilidad ambiental,Masculino,Instagram
Argentina,2021,30,1846.34,61.54,164,5.47,28.2,1076.1,5.84,34.8,80.0,20.0,70.0,Feria local,Ropa formal,Ahorro económico,Femenino,Instagram
Argentina,2022,27,1705.93,63.18,141,5.22,28.3,1028.96,4.34,30.7,92.59,22.22,62.96,Tienda online,Accesorios,Ahorro económico,Femenino,Instagram
Argentina,2023,40,2593.97,64.85,224,5.6,26.78,1039.6,4.0,29.05,72.5,7.5,65.0,Aplicación móvil,Ropa formal,Ahorro económico,Femenino,Facebook
Argentina,2024,34,2244.66,66.02,175,5.15,27.82,975.53,3.66,21.88,79.41,32.35,70.59,Tienda online,Ropa formal,Ahorro económico,Femenino,TikTok
Argentina,2025,45,2899.13,64.43,234,5.2,28.6,1081.4,5.54,30.18,71.11,11.11,71.11,Aplicación móvil,Ropa de diseñador,Ahorro económico,Femenino,WhatsApp
Argentina,2026,28,1913.93,68.35,171,6.11,29.61,1138.93,5.93,29.21,82.14,7.14,53.57,Redes sociales,Ropa casual,Ahorro económico,Femenino,Instagram
Bolivia,2000,12,417.7,34.81,39,3.25,28.5,1032.75,6.39,32.08,66.67,8.33,83.33,Mercado físico,Ropa casual,Tendencia social,Masculino,Instagram
Bolivia,2001,12,328.47,27.37,41,3.42,22.75,1066.33,5.19,34.75,66.67,16.67,41.67,Mercado físico,Ropa casual,Sostenibilidad ambiental,Femenino,TikTok
Bolivia,2002,5,214.98,43.0,13,2.6,24.4,742.0,3.5,38.8,100.0,0.0,80.0,Mercado físico,Ropa formal,Ahorro económico,Masculino,Instagram
Bolivia,2003,10,279.28,27.93,45,4.5,25.4,1041.9,2.7,36.2,80.0,20.0,60.0,Mercado físico,Calzado,Ahorro económico,Femenino,Instagram
Bolivia,2004,11,426.69,38.79,38,3.45,31.91,944.36,4.38,28.45,72.73,9.09,72.73,Mercado físico,Ropa deportiva,Sostenibilidad ambiental,Masculino,TikTok
Bolivia,2005,3,121.75,40.58,14,4.67,33.0,898.67,3.23,22.0,66.67,0.0,0.0,Intercambio entre amigos,Ropa vintage,Moda única/vintage,Femenino,TikTok
Bolivia,2006,7,270.63,38.66,25,3.57,29.86,1058.0,4.56,28.57,71.43,0.0,42.86,Feria local,Calzado,Ahorro económico,Femenino,TikTok
Bolivia,2007,9,344.2,38.24,33,3.67,24.67,858.67,9.51,22.56,66.67,11.11,44.44,Feria local,Calzado,Moda única/vintage,Femenino,Facebook
Bolivia,2008,4,147.51,36.88,14,3.5,36.75,1235.0,2.72,39.75,75.0,25.0,50.0,Mercado físico,Ropa vintage,Ahorro económico,Femenino,Instagram
Bolivia,2009,6,214.7,35.78,22,3.67,30.67,1147.0,1.43,31.5,66.67,16.67,83.33,Mercado físico,Accesorios,Reducir consumo,Femenino,Ninguna
